name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,category,year,,,,,,,,,,
7-17 Latona Road,Peckham,,,Southwark,www.artistic-spaces.co.uk,2E+11,E09000028,Old Kent Road,E05011109,-0.071103315,51.48194983,533812.7184,177760.6688,Artists Workspaces,2018,,,,,,,,,,
Galleria,Pennack Road,Peckham,,Southwark,www.acme.org.uk,10013530269,E09000028,Peckham,E05011110,-0.073649245,51.48202767,533635.7621,177764.6711,Artists Workspaces,2018,,,,,,,,,,
Haymerle,90 Haymerle Road,Southwark,,Southwark,www.spacestudios.org.uk,2E+11,E09000028,Old Kent Road,E05011109,-0.069812888,51.48249513,533900.6959,177823.6556,Artists Workspaces,2018,,,,,,,,,,
Childers Street,165 Childers Street,Deptford,,Lewisham,www.acme.org.uk,2E+11,E09000023,Evelyn,E05000443,-0.034814615,51.48215624,536331.1359,177850.5919,Artists Workspaces,2018,,,,,,,,,,
"Unit 10, Elizabeth Trading Estate",Juno Way,South Bermondsey,,Lewisham,www.artistic-spaces.co.uk,10093390732,E09000023,New Cross,E05000449,-0.04468175,51.48279792,535644.2911,177903.5993,Artists Workspaces,2018,,,,,,,,,,
Chisenhale Studios,64-84 Chisenhale Road,,,Tower Hamlets,www.chisenhale.co.uk,6146768,E09000030,Bow West,E05009320,-0.039708154,51.53308803,535839.8206,183503.9675,Artists Workspaces,2018,,,,,,,,,,
Wandsworth Plain,7 - 9 Church Row,,,Wandsworth,www.acava.org,121007444,E09000032,Fairfield,E05000614,-0.194574699,51.45787306,525307.681,174865.1537,Artists Workspaces,2018,,,,,,,,,,
Ilderton Road,180 Ilderton Road,,,Southwark,http://www.v22collection.com,10096038322,E09000028,Old Kent Road,E05011109,-0.054242484,51.48319987,534979.4425,177930.6108,Artists Workspaces,2018,,,,,,,,,,
Toaster factory ,16-18 penarth street,,,Southwark,http://studiomakecreate.wixsite.com/thetoasterfactory,2E+11,E09000028,Old Kent Road,E05011109,-0.054942753,51.4833284,534930.4541,177943.6097,Artists Workspaces,2018,,,,,,,,,,
London Performance Studios,"Unit 30, Penarth Centre",Penarth St,,Southwark,,10009803448,E09000028,Old Kent Road,E05011109,-0.054898283,51.48369637,534932.4543,177984.6021,Artists Workspaces,2018,,,,,,,,,,
JUNO ENTERPRISE CENTRE,"Unit 14 and 17, Block C",Juno Way,,Lewisham,ceramicsstudio.coop,1E+11,E09000023,New Cross,E05000449,-0.046154152,51.48373076,535539.3169,178004.5837,Artists Workspaces,2018,,,,,,,,,,
Rollins Street,GUILD HOUSE FIRST FLOOR FRONT,ROLLINS STREET,,Lewisham,cellprojects.org,2E+11,E09000023,New Cross,E05000449,-0.050107974,51.48389554,535264.3789,178015.5885,Artists Workspaces,2018,,,,,,,,,,
Gasworks,155 Vauxhall Street,,,Lambeth,www.gasworks.org.uk,1E+11,E09000022,Oval,E05000426,-0.11543231,51.48513475,530726.4128,178034.6058,Artists Workspaces,2018,,,,,,,,,,
The Forge / Diesel House Studios,London Museum of Water and Steam,Green Dragon Lane,,Hounslow,http://www.madeatkewbridge.co.uk,1E+11,E09000018,Brentford,E05000347,-0.290517573,51.48905549,518562.9618,178172.061,Artists Workspaces,2018,,,,,,,,,,
Borthwick St,5 Borthwick St,,,Greenwich,www.acava.org,10010244675,E09000011,Greenwich West,E05000222,-0.024778976,51.48496902,537019.3363,178182.0529,Artists Workspaces,2018,,,,,,,,,,
Chaplin Centre,Chaplin Centre,Taplow House,,Southwark,www.ascstudios.co.uk,2E+11,E09000028,Faraday,E05011102,-0.086620189,51.48835522,532716.9722,178444.5474,Artists Workspaces,2018,,,,,,,,,,
Bainbridge Print,Units 7-9 Taplow House,Thurlow St ,,Southwark,www.bainbridgeprint.com,2E+11,E09000028,Faraday,E05011102,-0.086620189,51.48835522,532716.9722,178444.5474,Artists Workspaces,2018,,,,,,,,,,
Occupation Studios,7-10 Occupation Road,London,,Southwark,,2E+11,E09000028,North Walworth,E05011107,-0.096793913,51.4886017,532010.1273,178453.538,Artists Workspaces,2018,,,,,,,,,,
Pullens Yard,Iliffe Yard,,,Southwark,http://www.pullensyards.co.uk/,2E+11,E09000028,Newington,E05011105,-0.100268165,51.48957529,531766.1789,178555.5145,Artists Workspaces,2018,,,,,,,,,,
Pullens Yard,Clements Yard,,,Southwark,http://www.pullensyards.co.uk/,10093339549,E09000028,Newington,E05011105,-0.101632723,51.48966933,531671.1994,178563.5117,Artists Workspaces,2018,,,,,,,,,,
Craft Central / The Forge,397-411 Westferry Road,,,Tower Hamlets,www.craftcentral.org.uk,6653025,E09000030,Island Gardens,E05009324,-0.019159363,51.48879019,537397.9131,178617.4195,Artists Workspaces,2018,,,,,,,,,,
Pullens Yard,Peacock Yard,,,Southwark,http://www.pullensyards.co.uk/,2E+11,E09000028,Newington,E05011105,-0.100383562,51.49061133,531755.1793,178670.4912,Artists Workspaces,2018,,,,,,,,,,
Azof,Azof Street,Greenwich,,Greenwich,www.spacestudios.org.uk,1E+11,E09000011,Peninsula,E05000225,0.007934343,51.48899702,539277.7023,178691.6607,Artists Workspaces,2018,,,,,,,,,,
Highline,10 Steedman Street,Elephant and Castle,,Southwark,www.acme.org.uk,10091666566,E09000028,North Walworth,E05011107,-0.099010959,51.49174915,531847.1581,178799.4667,Artists Workspaces,2018,,,,,,,,,,
Tannery Arts,"Unit 8, Rich industrial Estate",46 Willow Walk,,Southwark,http://tanneryarts.org.uk/,10093340245,E09000028,London Bridge & West Bermondsey,E05011104,-0.079270584,51.49426019,533209.8603,179114.4167,Artists Workspaces,2018,,,,,,,,,,
Cul De Sac Gallery,65-69 County Street,,,Southwark,www.culdesacgallery.com,10093339946,E09000028,Chaucer,E05011098,-0.090997012,51.49461357,532395.0401,179132.4103,Artists Workspaces,2018,,,,,,,,,,
76-89 Alscot Road,76-89 Alscot Road,,,Southwark,www.setspace.uk,2E+11,E09000028,South Bermondsey,E05011116,-0.073086554,51.49434755,533638.7667,179135.4064,Artists Workspaces,2018,,,,,,,,,,
TOWER BRIDGE BUSINESS COMPLEX,100 Clements Road,,,Southwark,http://www.creeksideartists.co.uk/,2E+11,E09000028,North Bermondsey,E05011106,-0.062821182,51.49419634,534351.61,179137.3957,Artists Workspaces,2018,,,,,,,,,,
Commonwealth Studios,"2, Commonwealth Buildings",Woolwich Church St,,Greenwich,,10010244186,E09000011,Woolwich Riverside,E05000230,0.046945644,51.49280506,541973.4318,179190.0252,Artists Workspaces,2018,,,,,,,,,,
Studio 180,180 Lambeth Road,,,Lambeth,www.makespacestudios.com,2E+11,E09000022,Bishop's,E05000416,-0.115874653,51.49568915,530665.5003,179207.2446,Artists Workspaces,2018,,,,,,,,,,
Southlands Arts Centre,"75, The Green",West Drayton,,Hillingdon,www.southlandsarts.co.uk,1E+11,E09000017,West Drayton,E05000342,-0.475855495,51.50155042,505669.9838,179277.1883,Artists Workspaces,2018,,,,,,,,,,
Colville Rd Studios,Units 2 and 4,11 Colville Rd,,Ealing,www.acava.org,12093573,E09000009,South Acton,E05000188,-0.273723932,51.49926169,519701.8179,179334.1761,Artists Workspaces,2018,,,,,,,,,,
Faroe Rd,23 - 29 Faroe Rd,,,Hammersmith and Fulham,www.acava.org,34034840,E09000013,Avonmore and Brook Green,E05000252,-0.21515405,51.49859209,523767.9355,179357.2668,Artists Workspaces,2018,,,,,,,,,,
Thames-Side Studios,5 Harrington Way,Woolwich,,Greenwich,https://www.thames-sidestudios.co.uk/,10010229623,E09000011,Woolwich Riverside,E05000230,0.043965071,51.4943765,541761.7068,179358.9497,Artists Workspaces,2018,,,,,,,,,,
Art Hub Studios CIC,"Unit 2b, Bldg 28, ",34 Bowater Rd,,Greenwich,www.arthub.org.uk,10010244296,E09000011,Woolwich Riverside,E05000230,0.039912483,51.49456696,541479.8789,179372.2798,Artists Workspaces,2018,,,,,,,,,,
Assemble Studio,Sugarhouse Studios,19 Collett Rd,,Southwark,assemblestudio.co.uk,10025331048,E09000028,North Bermondsey,E05011106,-0.062958383,51.49690542,534334.1202,179438.3338,Artists Workspaces,2018,,,,,,,,,,
Makespace studios,Newnham Terrace,,,Lambeth,www.makespacestudios.com,10001114119,E09000022,Bishop's,E05000416,-0.113261782,51.49863391,530838.3865,179539.3136,Artists Workspaces,2018,,,,,,,,,,
Delfina Studios,29 / 31 Catherine Place ,,,City of Westminster,www.delfinafoundation.com,10033631259,E09000033,St. James's,E05000644,-0.140978677,51.49942723,528912.8093,179578.284,Artists Workspaces,2018,,,,,,,,,,
