"borough_name","count"
"Barking and Dagenham",1
"Barnet",3
"Bexley",1
"Brent",3
"Bromley",3
"Camden",14
"City of London",2
"Croydon",3
"Ealing",1
"Enfield",2
"Greenwich",4
"Hackney",5
"Hammersmith and Fulham",4
"Haringey",5
"Harrow",1
"Havering",1
"Hillingdon",2
"Hounslow",3
"Islington",3
"Kensington and Chelsea",7
"Kingston upon Thames",1
"Lambeth",7
"Lewisham",2
"Merton",2
"Newham",2
"Redbridge",2
"Richmond upon Thames",3
"Southwark",7
"Tower Hamlets",6
"Wandsworth",3
"Westminster",20
