name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing
Gillian Lynne Theatre,166 Drury Ln,NA,NA,Camden,http://www.reallyusefultheatres.co.uk/our-theatres/new-london,5157611,E09000007,Holborn and Covent Garden,E05000138,-0.12437866,51.51594211,530017.6577,181443.806
Grange Court Theatre ,Drama Studio London, Grange Court,NA,Ealing,NA,12084359,E09000009,Ealing Common,E05000174,-0.305456884,51.50991716,517472.3671,180467.3793
Greenwich & Lewisham Young People's Theatre,The Tramshed, 51-53 Woolwich New Road,NA,Greenwich,http://www.glypt.co.uk/,1.00E+11,E09000011,Woolwich Riverside,E05000230,0.066393079,51.49001293,543331.8397,178917.5325
Greenwich Theatre,Crooms Hill,NA,NA,Greenwich,https://www.greenwichtheatre.org.uk/,10010200382,E09000011,Greenwich West,E05000222,-0.00924372,51.47998282,538112.7189,177656.9067
Greenwood Theatre,55 Weston St,NA,NA,Southwark,https://www.kcl.ac.uk/greenwood/index.aspx,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,-0.087504035,51.50311795,532612.7428,180084.2508
Hackney Arts Centre - EartH (Evolutionary Arts Hackney),11-17 Stoke Newington Road, Stoke Newington,NA,Hackney,https://www.hackneyartscentre.org/,10008300562,E09000012,Shacklewell,E05009382,-0.076999466,51.55140177,533200.5119,185471.4457
Hackney Empire,291 Mare St,NA,NA,Hackney,https://hackneyempire.co.uk/,1.00E+11,E09000012,Hackney Central,E05009372,-0.057085172,51.54657726,534595.0558,184971.5144
Hackney Showroom,Hackney Downs Studios, Amhurst Terrace,NA,Hackney,NA,10091775026,E09000012,Stoke Newington,E05009385,-0.069737442,51.55496024,533693.3917,185880.3177
Half Moon Young Peopleâ€™s Theatre,43 White Horse Road,NA,NA,Tower Hamlets,http://www.halfmoon.org.uk/,6044554,E09000030,Stepney Green,E05009334,-0.042220553,51.51423921,535721.6696,181403.7525
Hampstead Theatre,Eton Avenue, Swiss Cottage,NA,Camden,https://www.hampsteadtheatre.com/,5134828,E09000007,Belsize,E05000128,-0.173976362,51.54456256,526497.8612,184538.812
